Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Jamie Moyer,56,39,25,49.8,32.8,41.3,61.6,236,400,24,51,0,15,0,35,0.128,0.199,0.14,0.339,-8,269,209,4.25,103,1.322,696,638,0,4074,4231,522,1155,2441,*1/H,
Johan Santana,82,35,12,51.7,45,48.3,61.6,117,248,11,40,1,9,0,9,0.161,0.191,0.23,0.421,13,139,78,3.2,136,1.132,360,284,1,2025.2,1726,220,567,1988,*1,
Johnny Damon,90,45,18,56.3,33,44.6,58,2490,9736,1668,2769,235,1139,408,1003,0.284,0.352,0.433,0.785,104,,,,,,,,,,,,,,*8*7*D9H/3,
Hideki Matsui,37,21,10,21.2,21.3,21.3,53.6,1236,4442,656,1253,175,760,13,547,0.282,0.36,0.462,0.822,118,,,,,,,,,,,,,,*7*D8H/9,
Chris Carpenter,70,26,15,34.2,29.3,31.8,61.6,196,439,18,52,2,21,0,12,0.118,0.145,0.15,0.296,-21,144,94,3.76,116,1.276,350,332,0,2219.1,2205,220,627,1697,*1,
Kerry Wood,24,14,14,27.6,24.9,26.2,32.6,341,346,23,59,7,32,0,11,0.171,0.196,0.249,0.444,15,86,75,3.67,117,1.267,446,178,63,1380,1083,148,666,1582,*1/H,
Carlos Lee,79,35,14,28.3,23.3,25.8,53.6,2099,7983,1125,2273,358,1363,125,655,0.285,0.339,0.483,0.821,113,,,,,,,,,,,,,,*73D/H,
Livan Hernandez,41,16,17,30,27.4,28.7,61.6,491,973,64,215,10,85,0,10,0.221,0.231,0.295,0.526,38,178,177,4.44,95,1.44,519,474,1,3189,3525,362,1066,1976,*1/H,
Carlos Zambrano,30,23,12,43.9,38.3,41.1,61.6,365,693,75,165,24,71,1,10,0.238,0.248,0.388,0.636,62,132,91,3.66,120,1.331,354,302,0,1959,1709,161,898,1637,*1H,
Brad Lidge,48,10,11,7.9,12.1,10,32.6,578,7,0,2,0,2,0,0,0.286,0.286,0.429,0.714,81,26,32,3.54,122,1.291,603,1,225,603.1,492,57,287,799,*1,
