Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,position,method,induction.year,first.year,last.year,Num.Years.On.Ballot,mitchell.report
Bobby Bonds,66,36,14,55.7,40,47.8,55.4,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*98D7,RF,0,0,1968,1981,11,0
Rusty Staub,59,38,23,41.6,31.6,36.6,55.4,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D*37/8,RF,0,0,1963,1985,7,0
Mike Scott,57,19,13,20.5,24.6,22.6,57.9,348,653,33,81,2,45,2,27,0.124,0.158,0.155,0.313,-11,124,108,3.54,100,1.201,347,319,3,2068.2,1858,173,627,1469,*1,P,0,0,1979,1991,1,0
Rick Reuschel,48,31,19,66.2,42.1,54.1,57.9,579,1115,82,187,4,79,3,46,0.168,0.202,0.217,0.419,15,214,191,3.37,114,1.275,557,529,5,3548.1,3588,221,935,2015,*1,P,0,0,1972,1991,1,0
Garry Templeton,58,22,16,24.9,22.4,23.7,52.1,2079,7721,893,2096,70,728,242,375,0.271,0.304,0.369,0.673,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/359,SS,0,0,1976,1991,1,0
Terry Kennedy,40,23,14,19.5,17.9,18.7,40.7,1491,4979,474,1313,113,628,6,365,0.264,0.314,0.386,0.699,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/73,C,0,0,1978,1991,1,0
Terry Puhl,8,15,15,26.2,22.3,24.3,55.4,1531,4855,676,1361,62,435,217,505,0.28,0.349,0.388,0.737,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*87/3D,RF,0,0,1977,1991,1,0
Tony Oliva,114,29,15,39.7,36.5,38.1,55.4,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D8/7,RF,0,0,1962,1976,15,0
Curt Flood,59,16,15,39.8,31.5,35.6,54.8,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8/5749,CF,0,0,1956,1971,15,0
Vada Pinson,95,36,18,50.2,38.1,44.1,54.8,2469,9645,1366,2757,256,1170,305,574,0.286,0.327,0.442,0.769,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*97/3D,CF,0,0,1958,1975,15,0
Frank White,81,19,18,31.1,21.9,26.5,54.4,2324,7859,912,2006,160,886,178,412,0.255,0.293,0.383,0.675,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*46/5D9,2B,0,0,1973,1990,1,0
