Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,position,method,induction.year,first.year,last.year,Num.Years.On.Ballot,mitchell.report
Don Newcombe,78,28,10,35.6,33.1,34.4,57.9,452,878,94,238,15,108,2,87,0.271,0.338,0.367,0.705,85,149,90,3.56,114,1.203,344,294,7,2154.2,2102,252,490,1129,*1,P,0,0,1949,1960,15,0
Al Dark,51,26,14,39.6,31,35.3,52.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98,0,0,18,33,2,1,1,0,1,1,1,1,0,*6*57/4391,SS,0,0,1946,1960,15,0
Norm Cash,50,29,17,48.2,31.7,39.9,51.5,2089,6705,1046,1820,377,1103,43,1043,0.271,0.374,0.488,0.862,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/97D,1B,0,0,1958,1974,1,0
Matty Alou,53,20,15,21.5,22.1,21.8,54.8,1667,5789,780,1777,31,427,156,311,0.307,0.345,0.381,0.726,105,0,0,0,NA,2,1,0,0,2,3,0,1,3,*8*973/D1,CF,0,0,1960,1974,1,0
Felipe Alou,46,20,17,39.2,32.2,35.7,55.4,2082,7339,985,2101,206,852,107,423,0.286,0.328,0.433,0.761,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*8*3*7/56D,RF,0,0,1958,1974,1,0
Mel Stottlemyre,71,27,11,40.1,32.4,36.2,57.9,366,749,54,120,7,57,0,47,0.16,0.213,0.222,0.434,27,164,139,2.97,112,1.219,360,356,1,2661.1,2435,171,809,1257,*1,P,0,0,1964,1974,1,0
Steve Blass,33,13,10,6.1,10.7,8.4,57.9,295,546,42,94,1,37,0,11,0.172,0.188,0.201,0.389,11,103,76,3.63,95,1.349,282,231,2,1597.1,1558,128,597,896,7-Jan,LF,0,0,1964,1974,1,0
Don McMahon,45,20,18,21,16.7,18.8,32.3,874,168,8,23,0,9,0,10,0.137,0.185,0.161,0.346,-1,90,68,2.96,120,1.246,874,2,153,1310.2,1054,104,579,1003,*1,P,0,0,1957,1974,1,0
Sonny Jackson,2,1,12,0.8,4.5,2.7,52.1,936,3055,396,767,7,162,126,250,0.251,0.308,0.303,0.611,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*687/59,SS,0,0,1963,1974,1,0
Jim Hickman,14,13,13,11.5,11.2,11.3,51.5,1421,3974,518,1002,159,560,17,491,0.252,0.335,0.426,0.76,108,0,0,4.5,85,1,1,0,0,2,2,1,0,0,*9*8*375/1,RF,0,0,1962,1974,1,0
Chris Cannizzaro,3,1,13,5.5,5.9,5.7,40.7,740,1950,132,458,18,169,3,241,0.235,0.319,0.309,0.628,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/9,C,0,0,1960,1974,1,0
Bob Veale,32,21,13,20.4,21.8,21.1,57.9,399,630,26,72,0,18,0,18,0.114,0.139,0.129,0.267,-24,120,95,3.07,113,1.32,397,255,21,1926,1684,91,858,1703,*1,P,0,0,1962,1974,1,0
Bob Barton,0,0,10,1.3,2.8,2,40.7,393,1049,54,237,9,66,3,87,0.226,0.287,0.287,0.574,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1965,1974,1,0
Johnny Edwards,28,23,14,12.7,13.9,13.3,40.7,1470,4577,430,1106,81,524,15,465,0.242,0.311,0.353,0.664,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1961,1974,1,0
Paul Schaal,0,13,11,12.3,12.4,12.4,53.4,1128,3555,436,869,57,323,43,516,0.244,0.341,0.344,0.686,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5/46,3B,0,0,1964,1974,1,0
Jack Aker,10,11,11,7.2,11,9.1,32.3,496,92,3,7,0,4,0,1,0.076,0.096,0.098,0.194,-44,47,45,3.28,106,1.277,495,0,123,746,679,63,274,404,*1,P,0,0,1964,1974,1,0
Andy Kosco,0,4,10,-0.4,1.7,0.6,55.4,658,1963,204,464,73,267,5,99,0.236,0.273,0.394,0.667,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*973/58,RF,0,0,1965,1974,1,0
Paul Casanova,3,0,10,-0.2,3.2,1.5,40.7,859,2786,214,627,50,252,2,101,0.225,0.252,0.319,0.571,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1965,1974,1,0
Juan Pizarro,17,19,18,17.1,19.7,18.4,57.9,496,658,72,133,8,66,1,32,0.202,0.237,0.272,0.509,42,131,105,3.43,104,1.325,488,245,28,2034.1,1807,201,888,1522,*1,P,0,0,1957,1974,1,0
Lew Krausse,2,6,12,1.2,5.7,3.5,57.9,334,354,23,47,6,24,1,26,0.133,0.196,0.215,0.411,19,68,91,4,85,1.323,321,167,21,1283.2,1205,137,493,721,*1,P,0,0,1961,1974,1,0
Jim Ray,2,14,9,5.6,7.4,6.5,32.3,309,117,4,16,0,6,0,2,0.137,0.158,0.137,0.295,-15,43,30,3.61,97,1.314,308,20,25,618,541,52,271,407,*1,P,0,0,1965,1974,1,0
Ron Hunt,11,18,12,30.6,24.4,27.5,54.4,1483,5235,745,1429,39,370,65,555,0.273,0.368,0.347,0.715,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*45/6,2B,0,0,1963,1974,1,0
John Boccabella,0,0,12,-0.8,1.7,0.5,40.7,551,1462,117,320,26,148,3,96,0.219,0.267,0.317,0.584,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*237/95,C,0,0,1963,1974,1,0
Denis Menke,10,18,13,25.7,21.7,23.7,52.1,1598,5071,605,1270,101,606,34,698,0.25,0.343,0.37,0.713,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*543/79,SS,0,0,1962,1974,1,0
Dick Selma,3,8,10,9.3,12,10.6,32.3,324,203,13,35,0,7,1,5,0.172,0.195,0.217,0.412,17,42,54,3.62,100,1.326,307,76,31,840.2,734,69,381,681,*1/53,P,0,0,1965,1974,1,0
Rick Reichardt,0,6,11,11.6,12.5,12,50.7,997,3307,391,864,116,445,40,263,0.261,0.326,0.414,0.74,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*789D/35,LF,0,0,1964,1974,1,0
Larry Brown,0,12,12,4.5,7.1,5.8,52.1,1129,3449,331,803,47,254,22,317,0.233,0.3,0.313,0.612,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*645,SS,0,0,1963,1974,1,0
Bob Miller,14,8,17,14.6,11.2,12.9,32.3,707,299,8,33,0,8,0,14,0.11,0.152,0.127,0.279,-21,69,81,3.37,106,1.35,694,99,51,1551.1,1487,101,608,895,*1,P,0,0,1957,1974,1,0
Phil Gagliano,0,1,12,1.5,3.1,2.3,53.4,702,1411,150,336,14,159,5,163,0.238,0.316,0.313,0.629,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45793/6,2B,0,0,1963,1974,1,0
Duke Sims,0,8,11,11.3,11.2,11.3,40.7,843,2422,263,580,100,310,6,338,0.239,0.34,0.401,0.741,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*237/9D,C,0,0,1964,1974,1,0
Horace Clarke,0,12,10,13.4,13.2,13.3,54.4,1272,4813,548,1230,27,304,151,365,0.256,0.308,0.313,0.621,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*46/5D,2B,0,0,1965,1974,1,0
Pete Richert,16,15,13,12.1,12.7,12.4,32.3,446,297,21,43,1,15,2,9,0.145,0.172,0.178,0.351,2,80,73,3.19,106,1.186,429,122,51,1165.2,959,116,424,925,*1,P,0,0,1962,1974,1,0
Norm Miller,0,3,10,0.9,2.1,1.5,55.4,540,1364,166,325,24,159,16,160,0.238,0.323,0.356,0.678,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978/52,RF,0,0,1965,1974,1,0
Jim Gosger,0,1,10,1.3,5,3.1,54.8,705,1815,197,411,30,177,25,217,0.226,0.309,0.331,0.64,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879/3,CF,0,0,1963,1974,1,0
Frank Linzy,12,12,11,12.3,13.8,13.1,32.3,516,121,5,18,1,3,0,3,0.149,0.176,0.19,0.366,3,62,57,2.85,124,1.312,516,2,111,817.1,790,35,282,358,*1,P,0,0,1963,1974,1,0
Mike Ryan,0,0,11,-1.9,0.7,-0.6,40.7,636,1920,146,370,28,161,4,152,0.193,0.252,0.28,0.532,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1964,1974,1,0
John Kennedy,4,0,12,-3.7,0.6,-1.6,53.4,856,2110,237,475,32,185,14,142,0.225,0.281,0.323,0.604,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*564/D3,3B,0,0,1962,1974,1,0
Ivan Murrell,0,3,10,0.2,1.7,0.9,50.7,564,1306,126,308,33,123,20,44,0.236,0.265,0.366,0.631,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7893,LF,0,0,1963,1974,1,0
Steve Barber,21,14,15,14.7,16.1,15.4,57.9,466,563,24,65,5,27,0,38,0.115,0.174,0.158,0.332,-5,121,106,3.36,105,1.385,466,272,13,1999,1818,125,950,1309,*1,P,0,0,1960,1974,1,0
Willie Mays,376,76,22,150.8,71.5,111.1,54.8,2992,10881,2062,3283,660,1903,338,1464,0.302,0.384,0.557,0.941,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*83/9765,CF,1,1979,1951,1973,1,0
Enos Slaughter,90,41,19,51.3,33.1,42.2,55.4,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*O,RF,4,1985,1938,1959,14,0
Bobby Thomson,30,21,15,30,24.7,27.3,54.8,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*759/43,CF,0,0,1946,1960,14,0
Vern Law,42,16,16,29,26.3,27.7,57.9,516,883,96,191,11,90,1,41,0.216,0.254,0.309,0.563,53,162,147,3.77,101,1.284,483,364,13,2672,2833,268,597,1092,*1/9,P,0,0,1950,1967,7,0
Del Crandall,82,26,16,25.4,22.8,24.1,40.7,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/397,C,0,0,1949,1966,4,0
Frank Howard,61,26,16,33.8,27,30.4,50.7,1895,6488,864,1774,382,1119,8,782,0.273,0.352,0.499,0.851,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*9*3D,LF,0,0,1958,1973,1,0
Ron Perranoski,45,13,13,16.7,19.9,18.3,32.3,737,167,6,16,0,3,0,10,0.096,0.147,0.114,0.261,-25,79,74,2.79,124,1.332,737,1,179,1174.2,1097,50,468,687,*1,P,0,0,1961,1973,1,0
Milt Pappas,40,34,17,40.6,27.4,34,57.9,527,1073,72,132,20,67,1,36,0.123,0.157,0.197,0.354,-3,209,164,3.4,110,1.225,520,465,4,3186,3046,298,858,1728,*1/4,P,0,0,1957,1973,1,0
Clete Boyer,11,11,16,25.5,22.2,23.9,53.4,1725,5780,645,1396,162,654,41,470,0.242,0.299,0.372,0.67,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*564,3B,0,0,1955,1971,2,0
Jim Maloney,50,29,12,35.9,35.6,35.7,57.9,321,628,51,126,7,53,2,33,0.201,0.241,0.28,0.521,44,134,84,3.19,115,1.259,302,262,4,1849,1518,138,810,1605,*1/7,P,0,0,1960,1971,2,0
Johnny Callison,36,16,16,35.4,32.7,34.1,55.4,1886,6652,926,1757,226,840,74,650,0.264,0.331,0.441,0.773,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*97/8D,RF,0,0,1958,1973,1,0
Chris Short,31,15,15,25.8,26.8,26.3,57.9,506,697,29,88,0,24,1,14,0.126,0.146,0.139,0.285,-19,135,132,3.43,104,1.299,501,308,18,2325,2215,183,806,1629,*1/2,P,0,0,1959,1973,1,0
Hal Lanier,1,12,10,-2.3,1.7,-0.3,52.1,1196,3703,297,843,8,273,11,136,0.228,0.255,0.275,0.529,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*45/3,SS,0,0,1964,1973,1,0
Jimmy Stewart,0,0,10,-1.9,0.8,-0.6,50.7,777,1420,164,336,8,112,38,139,0.237,0.306,0.305,0.611,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74685/392,LF,0,0,1963,1973,1,0
Eddie Fisher,12,15,15,8.1,9.2,8.6,32.3,690,246,11,30,0,8,0,10,0.122,0.156,0.15,0.307,-12,85,70,3.41,101,1.193,690,63,81,1538.2,1398,149,438,812,*1,P,0,0,1959,1973,1,0
Jim Beauchamp,0,0,10,-1.6,0.1,-0.7,51.5,393,661,79,153,14,90,6,54,0.231,0.288,0.334,0.622,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37/89,1B,0,0,1963,1973,1,0
Jose Pagan,5,11,15,3.8,6.8,5.3,52.1,1326,3689,387,922,52,372,46,244,0.25,0.298,0.344,0.641,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*57/4932,SS,0,0,1959,1973,1,0
Jeff Torborg,0,0,10,-0.2,1.2,0.5,40.7,574,1391,78,297,8,101,3,103,0.214,0.268,0.265,0.533,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1964,1973,1,0
Bobby Bolin,10,13,13,17.2,18.6,17.9,32.3,496,423,39,69,6,35,1,35,0.163,0.232,0.232,0.464,31,88,75,3.4,104,1.244,495,164,50,1576,1364,164,597,1175,*1,P,0,0,1961,1973,1,0
Tommie Agee,17,11,12,23.6,24.7,24.2,54.8,1129,3912,558,999,130,433,167,342,0.255,0.32,0.412,0.732,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*897,CF,0,0,1962,1973,1,0
Jerry May,0,0,10,4.8,5.6,5.2,40.7,556,1527,120,357,15,130,1,157,0.234,0.307,0.318,0.625,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1964,1973,1,0
Ray Culp,16,17,11,12.8,15.7,14.3,57.9,322,602,40,74,1,34,0,26,0.123,0.161,0.148,0.308,-13,122,101,3.58,100,1.28,322,268,1,1898.1,1677,188,752,1411,*1,P,0,0,1963,1973,1,0
Joe Pepitone,20,11,12,6.9,8.6,7.8,51.5,1397,5097,606,1315,219,721,41,302,0.258,0.301,0.432,0.733,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*897,1B,0,0,1962,1973,1,0
Fred Gladding,2,17,13,6.2,7,6.6,32.3,450,63,1,1,0,3,0,0,0.016,0.016,0.016,0.031,-91,48,34,3.13,114,1.313,450,1,109,601,566,38,223,394,*1,P,0,0,1961,1973,1,0
Bernie Allen,0,14,12,7.6,7.6,7.6,54.4,1139,3404,357,815,73,351,13,370,0.239,0.314,0.357,0.671,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*45/D,2B,0,0,1962,1973,1,0
Larry Stahl,0,2,10,1.6,2.3,2,50.7,730,1721,167,400,36,163,22,142,0.232,0.292,0.351,0.643,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7983,LF,0,0,1964,1973,1,0
Gene Alley,20,16,11,22.7,22.9,22.8,52.1,1195,3927,442,999,55,342,63,300,0.254,0.31,0.354,0.665,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*645,SS,0,0,1963,1973,1,0
John Stephenson,0,0,10,-2.5,-0.2,-1.4,40.7,451,989,83,214,12,93,0,63,0.216,0.271,0.296,0.567,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/5789,C,0,0,1964,1973,1,0
Rich Reese,2,4,10,1.2,4.1,2.6,51.5,866,2020,248,512,52,245,16,158,0.253,0.312,0.384,0.695,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*37/9,1B,0,0,1964,1973,1,0
Eddie Mathews,162,54,17,91.9,52.5,72.2,53.4,2391,8537,1509,2315,512,1453,68,1444,0.271,0.376,0.509,0.885,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*537,3B,1,1978,1952,1968,5,0
Pee Wee Reese,100,39,16,63.1,39.6,51.4,52.1,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*65,SS,4,1984,1940,1958,14,0
Vic Wertz,35,26,17,24.8,19.4,22.1,55.4,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*37/8,RF,0,0,1947,1963,9,0
Dick Groat,103,24,14,33.4,27.8,30.6,52.1,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/534,SS,0,0,1952,1967,6,0
Camilo Pascual,66,22,18,37.8,36.7,37.3,57.9,542,967,71,198,5,81,0,46,0.205,0.243,0.264,0.506,40,174,170,3.63,103,1.287,529,404,10,2930.2,2703,256,1069,2167,*1,P,0,0,1954,1971,2,0
Pedro Ramos,4,10,15,20,18.8,19.4,57.9,696,703,76,109,15,56,2,22,0.155,0.182,0.24,0.423,15,117,160,4.08,95,1.311,582,268,55,2355.2,2364,316,724,1305,*1,P,0,0,1955,1970,1,0
Mudcat Grant,34,18,14,19.3,16.8,18,57.9,667,759,80,135,6,65,2,37,0.178,0.216,0.24,0.456,27,145,119,3.63,100,1.286,571,293,53,2442,2292,292,849,1267,*1,P,0,0,1958,1971,1,0
Ernie Banks,170,46,19,62.5,49.5,56,52.1,2528,9421,1305,2583,512,1636,50,763,0.274,0.33,0.5,0.83,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*65/7,1B,1,1977,1953,1971,1,0
George Kell,90,29,15,34.5,25.7,30.1,53.4,1795,6702,881,2054,78,870,51,621,0.306,0.367,0.414,0.781,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*53/749,3B,4,1983,1943,1957,13,0
Walker Cooper,74,32,18,27.2,22.5,24.9,40.7,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1940,1957,10,0
Will White,141,47,10,31.6,32.3,32,57.9,403,1478,167,271,1,111,0,56,0.183,0.215,0.214,0.429,41,229,166,2.28,121,1.111,403,401,0,3542.2,3440,65,496,1041,*1/O,P,0,0,1877,1886,3,0
Johnny Podres,46,19,15,27.1,24.3,25.7,57.9,462,762,61,145,2,50,1,32,0.19,0.224,0.226,0.449,21,148,116,3.68,105,1.317,440,340,11,2265,2239,242,743,1435,*1,P,0,0,1953,1969,3,0
Robin Roberts,128,47,19,80.1,52,66,57.9,688,1525,107,255,5,103,3,135,0.167,0.238,0.226,0.464,27,286,245,3.41,113,1.17,676,609,25,4688.2,4582,505,902,2357,*1,P,1,1976,1948,1966,4,0
Bob Lemon,118,34,15,45.9,37,41.4,57.9,615,1183,148,274,37,147,2,93,0.232,0.288,0.386,0.674,82,207,128,3.23,119,1.337,460,350,22,2850,2559,180,1251,1277,*1/859,P,1,1976,1941,1958,12,0
Phil Rizzuto,87,23,13,38.1,31.9,35,52.1,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/4,SS,4,1994,1941,1956,14,0
Ralph Kiner,136,34,10,46.2,41.3,43.7,50.7,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*783,LF,1,1975,1946,1955,13,0
Hal Newhouser,140,34,17,58.6,49.6,54.1,57.9,492,999,71,201,2,81,3,89,0.201,0.267,0.233,0.5,36,207,150,3.06,130,1.311,488,374,26,2993,2674,136,1249,1796,*1,P,4,1992,1939,1955,12,0
Phil Cavarretta,42,22,22,31.8,24,27.9,51.5,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*O,1B,0,0,1934,1955,12,0
Johnny Sain,55,17,11,27.3,28.8,28.1,57.9,433,774,69,190,3,101,0,24,0.245,0.27,0.304,0.574,58,139,116,3.49,107,1.3,412,245,51,2125.2,2145,179,619,910,*1,P,0,0,1942,1955,10,0
Vic Raschi,82,25,10,15,15.1,15,57.9,269,608,45,112,1,50,0,47,0.184,0.243,0.217,0.46,25,132,66,3.72,105,1.316,269,255,3,1819,1666,138,727,944,1,P,0,0,1946,1955,9,0
Bill Virdon,10,8,12,16.7,15.7,16.2,54.8,1583,5980,735,1596,91,502,47,442,0.267,0.316,0.379,0.696,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*89/7,CF,0,0,1955,1968,2,0
Rocky Colavito,82,30,14,41.7,33.7,37.7,55.4,1841,6503,971,1730,374,1159,19,951,0.266,0.359,0.489,0.848,132,1,0,0,NA,1.059,2,0,0,5.2,1,0,5,2,*9*7/31,RF,0,0,1955,1968,2,0
Mickey Mantle,300,65,18,105.5,63,84.2,54.8,2401,8102,1676,2415,536,1509,153,1733,0.298,0.421,0.557,0.977,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8397/645,CF,1,1974,1951,1968,1,0
Whitey Ford,208,56,16,54.2,33.1,43.6,57.9,500,1023,91,177,3,69,3,113,0.173,0.256,0.2,0.457,28,236,106,2.75,133,1.215,498,438,10,3170.1,2766,228,1086,1956,*1,P,1,1974,1950,1967,2,0
Allie Reynolds,110,33,13,22.8,19.2,21,57.9,475,857,56,140,1,79,1,61,0.163,0.223,0.198,0.422,18,182,107,3.3,109,1.386,434,309,49,2492.1,2193,133,1261,1423,*1,P,0,0,1942,1954,13,0
Carl Erskine,48,18,12,12,13.7,12.8,57.9,360,588,51,92,1,31,0,12,0.156,0.175,0.18,0.355,-7,122,78,4,101,1.328,335,216,13,1718.2,1637,199,646,981,*1,P,0,0,1948,1959,8,0
Bobby Richardson,69,12,12,6.5,9.2,7.9,54.4,1412,5386,643,1432,34,390,73,262,0.266,0.299,0.335,0.634,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*45/6,2B,0,0,1955,1966,3,0
Roy McMillan,27,16,16,21.7,17.8,19.8,52.1,2093,6752,739,1639,68,594,41,665,0.243,0.314,0.321,0.635,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/54,SS,0,0,1951,1966,3,0
Billy Pierce,82,35,18,50.4,36.1,43.2,57.9,616,1102,94,203,0,69,1,65,0.184,0.232,0.203,0.435,19,211,169,3.27,119,1.26,585,432,32,3306.2,2989,284,1178,1999,*1/3,P,0,0,1945,1964,5,0
Bobby Shantz,53,16,16,32.5,23.7,28.1,32.3,578,548,60,107,1,46,3,47,0.195,0.265,0.245,0.509,38,119,99,3.38,119,1.26,537,171,48,1935.2,1795,151,643,1072,*1/8,P,0,0,1949,1964,5,0
Curt Simmons,37,24,20,38.9,28.6,33.7,57.9,609,1135,93,194,1,76,2,59,0.171,0.213,0.196,0.408,11,193,183,3.54,111,1.307,569,462,5,3348.1,3313,255,1063,1697,*1,P,0,0,1947,1967,2,0
Gil McDougald,54,21,10,38.6,30.6,34.6,54.4,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*56,2B,0,0,1951,1960,9,0
Smoky Burgess,46,34,18,31.2,21.6,26.4,40.7,1691,4471,485,1318,126,673,13,477,0.295,0.362,0.446,0.807,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1949,1967,2,0
Warren Spahn,260,66,21,93.5,49,71.2,57.9,783,1872,141,363,35,189,4,94,0.194,0.234,0.287,0.52,43,363,245,3.09,119,1.195,750,665,29,5243.2,4830,434,1434,2583,*1,P,1,1973,1942,1965,2,0
Johnny Mize,175,47,15,67.8,46.8,57.3,51.5,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/O,1B,4,1981,1936,1953,11,0
Marty Marion,57,17,13,29.6,25.1,27.4,52.1,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/5,SS,0,0,1940,1953,12,0
Dom DiMaggio,64,28,11,29.8,25,27.4,54.8,1399,5640,1046,1680,87,618,100,750,0.298,0.383,0.419,0.802,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*O,CF,0,0,1940,1953,9,0
Bobo Newsom,69,23,20,42,32.6,37.3,57.9,609,1337,86,253,1,102,1,17,0.189,0.2,0.217,0.417,10,211,222,3.98,107,1.463,600,483,21,3759.1,3769,206,1732,2082,*1,P,0,0,1929,1953,11,0
Dutch Leonard,45,24,20,44.1,29.8,36.9,57.9,640,1054,53,177,0,69,1,20,0.168,0.185,0.193,0.378,4,191,181,3.25,119,1.256,640,375,44,3218.1,3304,158,737,1170,*1,P,0,0,1933,1953,7,0
Harry Brecheen,67,27,12,40.1,31.3,35.7,57.9,321,673,48,129,2,44,0,45,0.192,0.247,0.235,0.481,30,133,92,2.92,133,1.188,318,240,18,1907.2,1731,116,536,901,*1,P,0,0,1940,1953,7,0
Sandy Koufax,227,46,12,46.2,43.8,45,57.9,397,776,26,75,2,28,0,43,0.097,0.145,0.116,0.261,-26,165,87,2.76,131,1.106,397,314,9,2324.1,1754,204,817,2396,*1,P,1,1972,1955,1966,1,0
Yogi Berra,226,49,19,56.1,35.1,45.6,40.7,2120,7555,1175,2150,358,1430,30,704,0.285,0.348,0.482,0.83,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*279/35,C,1,1972,1946,1965,2,0
Early Wynn,141,44,23,56.2,37,46.6,57.9,796,1704,136,365,17,173,1,141,0.214,0.274,0.285,0.559,54,300,244,3.54,107,1.329,691,612,15,4564,4291,338,1775,2334,*1,P,1,1972,1939,1963,4,0
Charlie Keller,52,30,13,40.6,36.3,38.4,50.7,1170,3790,725,1085,189,760,45,784,0.286,0.41,0.518,0.928,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*O,LF,0,0,1939,1952,11,0
