Year,Rk,Name,YoB,Votes,X.vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,NumBallots,VeteransCommittee,NegroLeagues,position,method
2007,31,Wally Joyner,1st,0,0.00%,28,25,16,32.2,21.9,27.1,51.5,2033,7127,973,2060,204,1106,60,833,0.289,0.362,0.44,0.802,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,545,0,0,1B,0
2007,32,Bobby Witt,1st,0,0.00%,7,11,16,11.8,13.7,12.7,57.9,438,64,2,9,1,5,0,2,0.141,0.164,0.234,0.399,2,142,157,4.83,91,1.569,430,397,0,2465,2493,252,1375,1955,*1,0,0,545,0,0,P,0
2006,1,Bruce Sutter,13th,400,76.90%,91,17,12,23.1,23.7,23.4,32.3,661,102,6,9,0,6,1,7,0.088,0.153,0.088,0.241,-33,68,71,2.83,136,1.14,661,0,300,1042,879,77,309,861,*1,0,0,520,0,0,P,1
2006,2,Jim Rice,12th,337,64.80%,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*D9/8,0,0,520,0,0,LF,0
2006,3,Rich Gossage,7th,336,64.60%,126,19,22,39.4,31,35.2,32.3,1003,85,1,9,0,2,0,4,0.106,0.146,0.118,0.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D,0,0,520,0,0,P,0
2006,4,Andre Dawson,5th,317,61.00%,118,44,21,60.6,41,50.8,54.8,2627,9927,1373,2774,438,1591,314,589,0.279,0.323,0.482,0.806,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*8D7,0,0,520,0,0,RF,0
2006,5,Bert Blyleven,9th,277,53.30%,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,*1,0,0,520,0,0,P,0
2006,6,Lee Smith,4th,234,45.00%,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,0,0,520,0,0,P,0
2006,7,Jack Morris,7th,214,41.20%,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,0,0,520,0,0,P,0
2006,8,Tommy John,12th,154,29.60%,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,*1,0,0,520,0,0,P,0
2006,9,Steve Garvey,14th,135,26.00%,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*35/749,0,0,520,0,0,1B,0
2006,10,Alan Trammell,5th,92,17.70%,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6D5/478,0,0,520,0,0,SS,0
